"","FileId","Filename","Site","Date","DateTime","Orig_Start","Orig_End","Observed_TaxonId","Observed_Label","Probability","Barking Marsh Frog","Eastern Sign-bearing Froglet","Common Froglet","Common Spadefoot Toad","Peron's Tree Frog","Pobblebonk Frog","Spotted Marsh Frog (race unknown)","[    -2  13033  13042  13059  13063  13120  13125  13131  13134  13135
  13182  13204  13936  63913  13207  13086 525739]"
"56",1316,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221205_000000.WAV","Big Bog_AM1",2022-12-05,2022-12-05,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0.001,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.001 0.    0.    0.   ]"
"57",1363,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221206_234500.WAV","Big Bog_AM1",2022-12-06,2022-12-06 23:45:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"58",1366,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221207_003000.WAV","Big Bog_AM1",2022-12-07,2022-12-07 00:30:00,0,1.5,-2,"Not a frog",0.995,0,0,0,0,0,0.004,0,"[0.995 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.004 0.    0.    0.   ]"
"59",1394,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221208_193000.WAV","Big Bog_AM1",2022-12-08,2022-12-08 19:30:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"60",1421,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221209_201500.WAV","Big Bog_AM1",2022-12-09,2022-12-09 20:15:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0.001,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.001 0.    0.    0.   ]"
"61",1453,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221210_221500.WAV","Big Bog_AM1",2022-12-10,2022-12-10 22:15:00,0,1.5,-2,"Not a frog",0.926,0,0,0.001,0.062,0,0.003,0.005,"[0.926 0.    0.    0.    0.005 0.    0.    0.    0.001 0.    0.    0.
 0.002 0.003 0.    0.062 0.   ]"
"62",1477,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221211_221500.WAV","Big Bog_AM1",2022-12-11,2022-12-11 22:15:00,31,32.5,63913,"Pobblebonk Frog",0.534,0.002,0.001,0,0.001,0,0.534,0.002,"[0.448 0.    0.007 0.002 0.002 0.    0.    0.001 0.    0.    0.    0.
 0.    0.534 0.002 0.001 0.002]"
"63",1493,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221212_201500.WAV","Big Bog_AM1",2022-12-12,2022-12-12 20:15:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"64",1515,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221213_194500.WAV","Big Bog_AM1",2022-12-13,2022-12-13 19:45:00,0,1.5,-2,"Not a frog",0.995,0,0,0,0,0,0.004,0,"[0.994 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.004 0.    0.    0.   ]"
"65",1533,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221214_001500.WAV","Big Bog_AM1",2022-12-14,2022-12-14 00:15:00,0,1.5,-2,"Not a frog",0.994,0,0,0,0,0,0.002,0,"[0.994 0.    0.003 0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.002 0.    0.    0.   ]"
"66",1578,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221215_233000.WAV","Big Bog_AM1",2022-12-15,2022-12-15 23:30:00,0,1.5,-2,"Not a frog",0.997,0,0,0,0,0,0.002,0,"[0.997 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.002 0.    0.    0.   ]"
"67",1603,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221216_234500.WAV","Big Bog_AM1",2022-12-16,2022-12-16 23:45:00,0,1.5,-2,"Not a frog",0.991,0,0,0,0,0,0.009,0,"[0.99  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.009 0.    0.    0.   ]"
"68",1609,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221217_191500.WAV","Big Bog_AM1",2022-12-17,2022-12-17 19:15:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"69",1644,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221218_220000.WAV","Big Bog_AM1",2022-12-18,2022-12-18 22:00:00,0,1.5,-2,"Not a frog",0.998,0,0,0,0,0,0.002,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.002 0.    0.    0.   ]"
